time,likes,comments,reactions,reaction_count,image,video,link,text,shares,post_url,topic,processed_text,engagement
2023-11-29 12:15:00,451,5,"{'like': 451, 'love': 18, 'care': 0, 'haha':0, 'wow': 4,'sad':0,'angry':0}",473,,,https://www.nationalgeographic.com/travel/article/best-food-experiences-savoy-france?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231129travel-savoyfrancefood&linkId=251558026&fbclid=IwAR3bvTsFgGKPBEkGffpp_498ScGAKKKveVzYhU6JJOB7fWUvQ83971zJq0w,"From Mont Blanc to the waters of Lac Léman, the historic region has flavors worthy of its scenery. ~ NATIONALGEOGRAPHIC.COM 4 of the best food experiences in Savoy, France",13,https://facebook.com/natgeo/posts/897234058440692,Travel,mont blanc water lac léman histor region flavor worthi sceneri best food experi savoy franc,491
2023-11-29 09:15:00,271,15,"{'like': 271, 'love': 6, 'care': 2, 'haha':1, 'wow': 0,'sad':0,'angry':0}",278,,,https://www.nationalgeographic.com/science/article/vitamin-c-retinol-biotin-skin-care-needs,"Most people only need three things to keep their skin barrier intact-but during the winter, you may need to go beyond just cleanser, moisturizer, and sunscreen. ~ NATIONALGEOGRAPHIC.COM What does your skin actually need? MOst people only need three things to keep their skin barrier intact",13,https://facebook.com/natgeo/posts/897234058440692,Science,peopl need three thing keep skin barrier winter may need go beyond cleanser moistur sunscreen skin actual need peopl need three thing keep skin barrier intact,306
2023-11-29 06:15:00,5900,184,"{'like': 5900, 'love': 2100, 'care': 766, 'haha':5, 'wow': 54,'sad':10,'angry':0}",8900,,https://scontent.fhan14-2.fna.fbcdn.net/v/t42.1790-2/405274195_314640558181314_8816362127736519239_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=55d0d3&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=m4lrTHTeKtUAX_MkT3Y&_nc_rml=0&_nc_ht=scontent.fhan14-2.fna&oh=00_ ,,"A sanctuary in Indonesia is celebrating the birth of a Sumatran rhino, the most threatened species of rhinoceros in the world.The healthy male calf is the first for his mother, Delilah, as well as his father, Harapan, a male rhino born at the Cincinnati Zoo, officials say.Sumatran rhinos are listed as critically endangered on the International Union for the Conservation of Nature's Red List of Threatened Species. There are only about 30 mature Sumatran rhinos living in the world, all in Indonesia, and their population is decreasing, according to the IUCN.Progress made in recent years is pointing toward the possible survival of the species, researchers say.",677,https://facebook.com/natgeo/posts/897234058440692,Animals,sanctuari indonesia celebr birth sumatran rhino threaten speci rhinocero healthi male calf first mother delilah well father harapan male rhino born cincinnati zoo offici rhino list critic endang intern union conserv natur red list threaten speci matur sumatran rhino live world indonesia popul decreas accord made recent year point toward possibl surviv speci research say,9761
2023-11-29 04:15:00,568,25,"{'like': 568, 'love': 50, 'care': 9, 'haha':1, 'wow': 2,'sad':1,'angry':0}",630,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/404671332_896385718525526_7445082065366036712_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&efg=eyJpIjoidCJ9&_nc_ohc=dJEWXCnhX5oAX-UcHMJ&tn=zl8CM8dkYkrsNiwA&_nc_ht=scontent.,,https://on.natgeo.com/49WZjQc,"Chronic inflammation in the gut can wreak havoc on the entire body-even the brain, where mental health conditions can be triggered. But we can influence inflammation by what we eat-and don't eat.",63,https://facebook.com/natgeo/posts/897234058440692,Science,chronic inflamm gut wreak havoc entir brain mental health condit trigger influenc inflamm eat,718
2023-11-29 02:38:00,441,9,"{'like': 441, 'love': 11, 'care': 1, 'haha':0, 'wow': 9,'sad':0,'angry':0}",461,,,https://www.nationalgeographic.com/travel/article/tuscan-spa-town-ancient-history-healing,The Italian town of San Casciano dei Bagni is the site of an ongoing archaeological excavation which has uncovered ancient bronze statues buried under centuries-old thermal baths. ~ NATIONALGEOGRAPHIC.COM This Tuscan spa twon offers ancient history and healing waters,49,https://facebook.com/natgeo/posts/897234058440692,Travel,italian town san casciano dei bagni site ongo archaeolog excav uncov ancient bronz statu buri thermal bath tuscan spa twon offer ancient histori heal water,519
2023-11-29 00:15:00,4200,45,"{'like': 4200, 'love': 777, 'care': 22, 'haha':0, 'wow': 24,'sad':1,'angry':0}",5000,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/404671332_896385718525526_7445082065366036712_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&efg=eyJpIjoidCJ9&_nc_ohc=dJEWXCnhX5oAX-UcHMJ&tn=zl8CM8dkYkrsNiwA&_nc_ht=scontent.,,,"Autumn leaves fall in Starved Rock State Park in Illinois, USA in this image from our archives.",257,https://facebook.com/natgeo/posts/897234058440692,History & Culture,autumn leav fall starv rock state park illinoi usa imag archiv,5302
2023-11-28 21:06:00,878,12,"{'like': 878, 'love': 36, 'care': 4, 'haha':3, 'wow': 15,'sad':4,'angry':0}",878,,,https://www.nationalgeographic.com/animals/article/photo-ark-names-15000th-species-the-miami-tiger-beetle,"The beetle was rediscovered in 2007 after a more than 60-year absence. Now, planned development is threatening its existence. ~ NATIONALGEOGRAPHIC.COM Meet the Miami tiger beetle, the 15,000th species in Nat Geo's Photo Ark",25,https://facebook.com/natgeo/posts/897234058440692,Animals,beetl rediscov absenc plan develop threaten exist meet miami tiger beetl speci nat geo photo ark,915
2023-11-28 18:15:00,909,24,"{'like': 909, 'love': 74, 'care': 4, 'haha':1, 'wow': 9,'sad':0,'angry':0}",996,,,https://www.nationalgeographic.com/travel/article/all-the-light-we-cannot-see-saint-malo-novel-tv,"Nearly annihilated during World War II, Saint-Malo has long been a beacon of maritime adventure-and potent rebellion. Here's how to experience it. ~ NATIONALGEOGRAPHIC.COM In this French seaside town, discover the different places in 'ALll the Light We cannot See'",63,https://facebook.com/natgeo/posts/897234058440692,Travel,nearli annihil world war ii long beacon maritim potent rebellion experi french seasid town discov differ place light see,1083
2023-11-28 12:15:00,1000,28,"{'like': 1000, 'love': 72, 'care': 4, 'haha':2, 'wow': 33,'sad':1,'angry':0}",1100,,,https://www.nationalgeographic.com/history/history-magazine/article/china-terra-cotta-warriors-made-by-army-artisans,"Discovered in the 1970s, the terra-cotta army was created 2,200 years ago to protect China's first emperor in the afterlife. ~ NATIONALGEOGRAPHIC.COM HOw were China's legions of terra-cotta warriors made? Experts have peiced it together.",56,https://facebook.com/natgeo/posts/897234058440692,History Magazine,discov armi creat year ago protect china first emperor afterlif china legion warrior made expert peic togeth,1184
2023-11-28 09:15:00,529,28,"{'like': 529, 'love': 5, 'care': 2, 'haha':1, 'wow': 9,'sad':2,'angry':2}",549,,,https://www.nationalgeographic.com/environment/article/el-nino-la-nina,"El Niño events generate complex weather patterns every two to seven years that cause drastic and sometimes dangerous changes in weather. Here's what causes them, how they can affect you, and why they're so hard to predict.~ NATIONALGEOGRAPHIC.COM What is El Nino-and will it lead to more snow this winter?",56,https://facebook.com/natgeo/posts/897234058440692,Environment,el niño event gener complex weather pattern everi two seven year caus drastic sometim danger chang weather caus affect hard el lead snow winter,633
